iter	Passed	Remaining
156	81540	178141
157	82049	177601
158	82875	177738
159	83300	177014
160	83820	176491
161	84463	176226
162	84962	175658
163	85502	175175
164	86001	174609
165	86520	174082
166	86961	173401
167	87323	172567
168	88019	172392
169	88512	171818
170	89302	171816
171	89786	171220
172	90559	171173
173	90996	170488
174	91472	169876
175	91947	169267
176	92330	168490
177	92882	168023
178	93349	167402
179	93819	166789
180	94373	166326
181	94787	165617
182	95318	165115
183	95788	164507
184	96310	163988
185	96764	163355
186	97162	162630
187	97994	162629
188	98455	162009
189	99244	161925
190	99565	161076
191	100082	160549
192	100593	160010
193	101138	159528
194	101782	159197
195	102695	159282
196	103133	158627
197	103503	157868
198	104148	157531
199	104681	157021
200	105129	156386
201	105674	155895
202	106237	155431
203	106842	155025
204	107271	154365
205	107787	153832
206	108706	153869
207	109348	153508
208	109749	152808
209	110123	152075
210	110609	151498
211	111144	150988
212	111626	150407
213	112046	149744
214	112778	149496
215	113275	148936
216	113842	148466
217	114360	147934
218	114856	147372
219	115538	147049
220	115996	146438
221	116548	145947
222	116928	145243
223	117428	144688
224	118012	144236
225	118749	143970
226	119281	143453
227	119822	142945
228	120291	142353
229	120704	141697
230	121254	141201
231	122127	141078
232	122777	140693
233	123126	139963
234	123642	139426
235	124265	139008
236	124716	138398
237	125201	137826
238	125664	137232
239	126040	136543
240	126491	135939
241	126943	135336
242	127334	134670
243	127891	134181
244	128736	133990
245	129179	133380
246	129849	133003
247	130322	132424
248	130727	131777
249	131224	131224
250	131703	130653
251	132262	130162
252	132714	129567
253	133340	129140
254	133766	128520
255	134312	128016
256	134932	127581
257	135426	127028
258	135924	126477
259	136504	126004
260	136935	125392
261	137470	124877
262	137896	124264
263	138386	123709
264	139065	123322
265	139452	122676
266	140000	122172
267	140471	121601
268	141072	121144
269	141625	120644
270	142206	120167
271	143211	120045
272	143806	119575
273	144495	119182
274	144925	118575
275	145240	117876
276	145610	117224
277	146112	116680
278	146562	116094
279	146898	115420
280	147555	114998
281	147985	114400
282	148613	113954
283	149106	113404
284	150077	113216
285	150452	112576
286	150922	112008
287	151406	111452
288	151844	110862
289	152251	110250
290	152742	109701
291	153178	109113
292	153643	108547
293	154307	108120
294	155096	107778
295	155972	107494
296	156424	106916
297	156990	106416
298	157616	105955
299	158075	105383
300	158533	104811
301	159375	104491
302	159925	103978
303	160398	103414
304	160940	102896
305	161472	102371
306	161896	101778
307	162476	101283
308	163037	100776
309	163358	100122
310	163970	99647
311	164549	99151
312	165185	98689
313	165703	98155
314	166580	97832
315	167072	97282
316	167579	96741
317	168064	96188
318	168588	95656
319	169035	95082
320	169556	94550
321	170188	94079
322	170863	93630
323	171344	93075
324	171856	92538
325	172648	92149
326	173089	91573
327	173534	90999
328	174072	90475
329	174908	90104
330	175299	89503
331	175890	89005
332	176580	88555
333	177072	88006
334	177546	87448
335	178021	86891
336	178518	86345
337	179283	85928
338	179707	85347
339	180200	84800
340	180612	84215
341	181149	83688
342	181572	83110
343	182110	82585
344	182679	82073
345	183152	81518
346	183612	80958
347	184403	80544
348	184971	80030
349	185644	79562
350	186319	79092
351	186682	78491
352	187351	78018
353	187857	77477
354	188233	76884
355	188790	76364
356	189195	75784
357	189668	75231
358	190222	74711
359	190758	74183
360	191393	73694
361	192075	73222
362	192614	72694
363	193002	72110
364	193469	71557
365	194539	71225
366	195163	70726
367	195792	70229
368	196559	69781
369	197660	69448
370	198297	68949
371	198956	68458
372	199461	67913
373	200365	67502
374	200890	66963
375	201413	66423
376	201845	65854
377	202277	65285
378	202758	64733
379	203260	64187
380	203772	63645
381	204458	63157
382	204835	62573
383	205613	62112
384	206102	61563
385	206577	61009
386	206978	60435
387	207513	59900
388	208055	59368
389	208629	58844
390	209167	58310
391	209582	57741
392	210211	57233
393	210734	56695
394	211233	56150
395	211561	55561
396	212065	55019
397	212706	54512
